순위,제목,저자,출판사,요약
75,파워블로그 만들기 100만 방문자와 소통하는  DVD1장포함 ,윤상진,한빛미디어,"파워블로거 5인의 생생한 컨텐츠 생산 방법과 마케팅 노하우를 담은『100만 방문자와 소통하는 파워블로그 만들기』. 글쓰기 방법부터 사진 촬영과 배치, 동영상 촬영과 배치 등 블로그에 효과적인 컨텐츠 생산과"
76,오래가는 UX 디자인,반준철,한빛미디어,"모바일 시대의 제품 디자인 기본 원칙 『오래가는 UX 디자인』. 디자이너, 기획자, 개발자를 위한 디자인 가이드북이다. 사람의 인지적 특성에 따라 고민해야 하는 UX 디자인의 기본 원칙을 설명하고, 사람을 위한"
77,구글 사이트 도구 쉬운 홈페이지 제작을 위한 ,유채곤,21세기사,쉬운 홈페이지 제작을 위한『구글 사이트 도구』. 구글 사이트 도구를 처음 접하는 사용자가 쉽게 사용방법을 이해할 수 있도록 간단한 예제들을 중심으로 순차적인 설명을 진행한 책이다. 기초적인 사용법은 물론
78,사용자 경험 이야기,이상용,지앤선,"《사용자 경험 이야기》는 사용자 경험에 대한 바른 이해와 정의를 깨우치게 한다. 옆에서 이야기하듯 진행되는 구성은 생소한 학문에 대한 두려움을 떨치게 하며, 매 페이지마다 등장하는 적절한 그림은 사용자"
79,아마존 웹 서비스 클라우드 디자인 패턴 구축 가이드 제이펍의 클리우드 시리즈 7  가죽 ,오오사와 후미타카,제이펍,『아마존 웹 서비스 클라우드 디자인 패턴 구축 가이드』는 CDP를 만든 감수자들의 시나리오와 몇 가지 CDP를 실제 아마존 웹 사이트에 적용을 어떻게 할 것인지 설명한다. 이 책은 AWS의 가상 서비스 중 6가지
80,소셜 웹 마이닝 2판 ,매튜 러셀,비제이퍼블릭,『소셜 웹 마이닝』은 각각의 장은 예측 가능한 템플릿을 따르면서 데이터를 수집하기 위해 API를 사용하는 방법을 가르쳐주고 데이터 분석을 위한 기술을 소개한다. 앞부분의 장들은 기본 개념을 소개하는 데 더
81,블로그 마케팅 혼자서도 할 수 있는  4판 ,유성철,앤써북,"[혼자서도 할 수 있는 블로그 마케팅]은 누구나 혼자서도 저품질블로그에 걸릴 염려 없이 파워블로그가 될 수 있는 블로그 제작 및 운영 핵심 방법을 알려주고, 분야별 파워블로그 5인의 블로그 운영 노하우를"
82,부트스트랩으로 디자인하라,양용석,로드북,[부트스트랩으로 디자인하라]는 HTML5와 CSS3 기초지식을 갖고 있는 디자이너를 대상으로 부트스트랩을 이용해서 요즘 유행하는 싱글 페이지 웹사이트를 디자인해 보고 부트스트랩의 여러 기능을 이용해서 기존에
83,CSS 수퍼파워 Sass로 디자인하라,양용석,로드북,『CSS 수퍼파워 Sass로 디자인하라』는 저자가 직접 Sass로 CSS 디자인을 해보면서 익힌 실무 경험을 녹여낸 책이다. “Sass가 이런 것이다”가 아니라 “Sass로 이렇게 쉽게 웹 디자인을 할 수 있다”를 말하고
84,GUI 생성과 활용 MATLAB을 이용한 ,김경중,교우사,"[MATLAB을 이용한 GUI 생성과 활용]은 UI window의 소개와 구조, UI window 작성과 환경, UI window 구성 객체 등을 살펴본다."
85,디지털 콘텐츠 기획 IT Cookbook 201 ,김성은,한빛아카데미,『디지털 콘텐츠 기획』은 디지털 콘텐츠 기획 및 UX/UI 관련 내용을 배우는 학생을 대상으로 한 책이다. 이 책은 국가직무능력표준 NCS 을 기반한 교육과정을 운영하는 대학이나 IT 전문학원에서 커리큘럼에 맞게
86,모든 기획자와 디자이너가 알아야 할 사람에 대한 또 다른 100가지 사실 위키북스 UX 시리즈 16 ,수잔 웨인쉔크,위키북스,"이전 책 ‘모든 기획자와 디자이너가 알아야 할 사람에 대한 100가지 사실’에 이은 '또 다른' 100가지 사실은, 이러한 다양한 궁금증을 바탕으로 어떻게 하면 사람들의 행동을 디자이너가 바라는 방향으로 유도할"
